hdong,행정동_코드,자치구_코드,longitude,latitude,자치구명
중앙동,11620615,11620,126.95065811919062,37.48414887531802,관악구
인헌동,11620625,11620,126.96755638312828,37.46970252971936,관악구
남현동,11620630,11620,126.9777659090888,37.464109612444176,관악구
서원동,11620645,11620,126.93332829985852,37.4805994030561,관악구
신원동,11620655,11620,126.92661369063258,37.479397081397735,관악구
서림동,11620665,11620,126.94149728796596,37.47286405812275,관악구
신림동,11620695,11620,126.92717147096998,37.48713708947788,관악구
난향동,11620715,11620,126.91852681304232,37.46150672535611,관악구
조원동,11620725,11620,126.90734428329348,37.48282539513199,관악구
대학동,11620735,11620,126.94851999048208,37.45290991716115,관악구
삼성동,11620745,11620,126.9300905593057,37.46084738317156,관악구
미성동,11620765,11620,126.91547002444884,37.475929758906666,관악구
난곡동,11620775,11620,126.92113955771757,37.47063574010427,관악구
서초1동,11650510,11650,127.02010383171128,37.48693257364956,서초구
가양3동,11500605,11500,126.86111507604798,37.56079786970286,강서구
발산1동,11500611,11500,126.8252606243117,37.55050591840841,강서구
우장산동,11500615,11500,126.8411262444883,37.550609421333775,강서구
공항동,11500620,11500,126.79462340376412,37.55581753376041,강서구
방화1동,11500630,11500,126.81757781779172,37.56860431514873,강서구
방화2동,11500640,11500,126.80402559812032,37.58271016973055,강서구
방화3동,11500641,11500,126.8175901318185,37.5821192354174,강서구
신도림동,11530510,11530,126.882178799532,37.51003138664776,구로구
구로1동,11530520,11530,126.8753979707312,37.493139588613694,구로구
구로2동,11530530,11530,126.87991515923407,37.496874432896426,구로구
구로3동,11530540,11530,126.89491572157203,37.48486929351595,구로구
구로4동,11530550,11530,126.89030405609384,37.49160463784752,구로구
구로5동,11530560,11530,126.88854723628783,37.50199159469519,구로구
가리봉동,11530595,11530,126.88805581858972,37.48269156337733,구로구
고척1동,11530720,11530,126.8637031420373,37.50070413514469,구로구
고척2동,11530730,11530,126.85346961648176,37.50589068275934,구로구
개봉1동,11530740,11530,126.84912717835932,37.50000165460349,구로구
개봉2동,11530750,11530,126.85648091405729,37.4925685083559,구로구
개봉3동,11530760,11530,126.85221843930331,37.48653551692018,구로구
등촌2동,11500530,11500,126.86002255940238,37.54584002476165,강서구
등촌3동,11500535,11500,126.84619694088194,37.56120284670086,강서구
화곡1동,11500540,11500,126.8409243599755,37.533778492505945,강서구
잠원동,11650540,11650,127.01273679325406,37.51708125203908,서초구
반포본동,11650550,11650,126.98755944235896,37.50421493946561,서초구
반포1동,11650560,11650,127.01676111796128,37.50552987327867,서초구
반포2동,11650570,11650,126.99596231145485,37.50722488308,서초구
반포3동,11650580,11650,127.00398140914186,37.51232457119947,서초구
반포4동,11650581,11650,127.00335874152437,37.49954833655945,서초구
방배본동,11650590,11650,126.98773058570704,37.49505172455024,서초구
방이2동,11710562,11710,127.1138900366646,37.513242816212546,송파구
